Class,precision,recall,f1-score,support
Benign,0.9197304410240051,0.9610416666666667,0.9399323525816048,24000.0
BruteForce,0.9912887522418652,0.96725,0.9791218524610907,4000.0
DDoS,0.9998748216208097,0.99845,0.9991619028557848,40000.0
DoS,0.9994999124846848,0.999325,0.9994124485892516,40000.0
Mirai,0.9996749512426863,0.999525,0.9995999699977498,40000.0
Recon,0.9313031161473088,0.9040625,0.9174806545731321,16000.0
Spoofing,0.9405385959502518,0.91505,0.9276192407116428,20000.0
Web,0.9503197245450073,0.966,0.9580957103892884,6000.0
